code,name,geo_coordinate,neighbourhoods_in_range,used_heat,available_heat
LTHP0001,"Bardeen Datahotel, Groningen","[235082.0087, 580965.9738]","BU012,BU013",31937.33595294118,176601.6
LTHP0002,"KPN GN2, Groningen","[231560.3621, 580589.3105]","BU011,BU012,BU013",0,176601.6
LTHP0003,"KPN HD, Groningen","[233354.5101, 579429.7496]","BU010,BU011,BU012",0,176601.6
LTHP0004,"Rekenhal - Zernikeborg, Groningen","[231687.6912, 584103.2279]","BU009,BU010,BU011",0,176601.6
LTHP0005,"Tele2 (POP), Groningen, Groningen","[236733.6423, 582172.8578]","BU008,BU009,BU010",0,176601.6
LTHP0006,"Datacenter Groningen B.V., Zuidbroek","[253798.9842, 576382.0073]","BU007,BU008,BU009",0,176601.6
LTHP0007,Bytesnet - Groningen,"[231412.8082, 583313.6345]","BU006,BU007,BU008",0,176601.6
LTHP0008,NLDC - Groningen,"[227614.7632, 580665.7535]","BU005,BU006,BU007",0,176601.6
LTHP0009,TCN Data Hotels - Groningen,"[231192.6232, 584995.3665]","BU004,BU005,BU006",0,176601.6
LTHP0010,Google,"[252819.0002, 605225.0005]","BU003,BU004,BU005",0,176601.6
LTHP0011,TCN Data Hotels - Eemshaven,"[252821.4862, 606619.6585]","BU002,BU003,BU004",0,176601.6
LTHP0012,RWZI Garmerwolde,"[240593.7722, 585222.8315]","BU002,BU003",0,751743.0
LTHP0013,RWZI Eelde,"[236484.0002, 572007.0005]","BU012,BU013",0,174539.0
LTHP0014,RWZI Zuidhorn,"[222036.8942, 585581.6165]","BU011,BU012,BU013",0,26546.0
LTHP0015,RWZI Hoogkerk,"[229627.4812, 581074.6475]","BU010,BU011,BU012",0,58586.0
LTHP0016,RWZI Feerwerd,"[227925.8512, 590163.1255]","BU009,BU010,BU011",0,7322.0
LTHP0017,RWZI Onderdendam,"[235353.3702, 594015.1845]","BU008,BU009,BU010",0,31492.0
LTHP0018,RWZI Uithuizen,"[240674.0472, 602153.1035]","BU007,BU008,BU009",0,21053.0
LTHP0019,RWZI Delfzijl,"[259304.0002, 592347.0005]","BU006,BU007,BU008",0,146467.0
LTHP0020,RWZI Uithuizermeeden,"[244833.0832, 603278.4455]","BU005,BU006,BU007",0,17392.0
LTHP0021,RWZI Winsum,"[229484.6122, 594732.3635]","BU004,BU005,BU006",0,31492.0
LTHP0022,RWZI Wehe Den Hoorn,"[223090.3332, 598531.0005]","BU003,BU004,BU005",0,12815.0
LTHP0023,RWZI Ulrum,"[218031.164, 596456.8668]","BU002,BU003,BU004",0,36617.0
LTHP0024,RWZI Gaarkeuken *,"[217557.0002, 585201.0005]","BU002,BU003",0,24718.0
LTHP0025,RWZI Marum*,"[213927.0002, 574580.0005]","BU012,BU013",0,13731.0
LTHP0026,RWZI Leek*,"[220625.1102, 574416.5505]","BU011,BU012,BU013",0,75613.0
LTHP0027,RWZI Foxhol,"[243440.8742, 576282.8975]","BU010,BU011,BU012",0,40837.0
LTHP0028,RWZI Hoogezand,"[247723.3572, 576893.0835]","BU009,BU010,BU011",0,43194.0
LTHP0029,RWZI Veendam,"[256688.0792, 570532.1705]","BU008,BU009,BU010",0,89750.0
LTHP0030,RWZI Oude Pekela,"[264696.0002, 571141.0005]","BU007,BU008,BU009",0,18086.0
LTHP0031,RWZI Scheemda,"[263359.0002, 576533.0005]","BU006,BU007,BU008",0,76354.0
LTHP0032,RWZI Bellingwolde,"[274510.5022, 572900.8375]","BU005,BU006,BU007",0,5271.0
LTHP0033,RWZI Scheve Klap,"[263299.9462, 587754.3205]","BU004,BU005,BU006",0,11479.0
LTHP0034,RWZI Ter Apel,"[273960.0002, 558670.0005]","BU003,BU004,BU005",0,17713.0
LTHP0035,RWZI Stadskanaal,"[260316.7032, 559500.6255]","BU002,BU003,BU004",0,42041.0
LTHP0036,RWZI Vriescheloo,"[271675.1022, 565399.2045]","BU002,BU003",0,7888.0
