neighbourhood,type,E,H,geothermal,TEO,HT,MT,LT,undefined,backup,undecided,useful_heat,heat_reduction
total,residences,169204.99900509306,0.0,215331.66976447537,57972.587853292585,714245.79530502,0.0,0.0,0.0,263381.44299856416,0.0,1027362.5337736568,19973.05758310311
total,utility,21132.13546371699,0.0,39179.73391782475,29877.633659250205,96334.55327507551,0.0,0.0,0.0,46454.30631429422,0.0,166754.8386010045,13695.397206153497
BU002,residences,19032.5001407925,,77837.71552429534,,,,,,27472.134890927777,,77837.71552429534,417.92902724464307
BU002,utility,952.18222518675,,6324.827389449355,,,,,,2232.292019805655,,6324.827389449355,601.0231917536453
BU003,residences,12715.974000000002,,90788.67782266,,,,,,32043.06276093883,,90788.67782266,0.0
BU003,utility,2191.1088237045005,,18870.699903626395,,,,,,6660.247024809317,,18870.699903626395,3587.246671119606
BU012,residences,3011.424921666,,,,22342.08955608,,,,5256.962248489411,,22342.08955608,0.0
BU012,utility,2148.71856780525,,,,21197.434332494,,,,4987.631607645646,,21197.434332494,0.0
BU013,residences,2083.536,,,,15726.18009389,,,,3700.2776691505874,,15726.18009389,0.0
BU013,utility,114.41520581325001,,,,1420.626475723,,,,334.2650531112941,,1420.626475723,0.0
BU014,residences,8136.6858668501245,,,57972.587853292585,,,,,19324.19595109753,,57972.587853292585,6120.526050227414
BU014,utility,5346.993537366,,,29877.633659250205,,,,,9959.211219750068,,29877.633659250205,6441.220472075796
BU010,residences,11250.152376524999,,,,79027.05936005,,,,18594.602202364702,,79027.05936005,0.0
BU010,utility,247.142499168,,,,2209.7766180562985,,,,519.9474395426583,,2209.7766180562985,429.0264109597014
BU006,residences,25297.830391537504,,,,190455.11518974,,,,44812.96827993882,,190455.11518974,0.0
BU006,utility,1805.317397754,,,,18833.934415450996,,,,4431.513980106116,,18833.934415450996,0.0
BU007,residences,19356.03459197775,,,,142691.56895331,,,,33574.486812543524,,142691.56895331,0.0
BU007,utility,2830.8915957134996,,,,21895.10461336,,,,5151.789320790587,,21895.10461336,0.0
BU008,residences,15316.6727290725,,,,101874.0019514,,,,23970.353400329408,,101874.0019514,0.0
BU008,utility,1274.3643816899998,,,,10914.258440088,,,,2568.0608094324703,,10914.258440088,0.0
BU004,residences,6934.648704501,,46705.27641752,,,,,,16484.215206183533,,46705.27641752,0.0
BU004,utility,1391.02071938175,,13984.206624749,,,,,,4935.602338146708,,13984.206624749,0.0
BU011,residences,5249.490941294251,,,,36505.64172297,,,,8589.56275834588,,36505.64172297,0.0
BU011,utility,172.18219259475,,,,2908.4793213569997,,,,684.3480756134115,,2908.4793213569997,0.0
BU005,residences,11817.786515736001,,,,72997.68555962999,,,,17175.92601403058,,72997.68555962999,0.0
BU005,utility,145.633445616,,,,1163.3437292496706,,,,273.7279362940401,,1163.3437292496706,176.68219247832928
BU009,residences,8608.25335852125,,,,52626.452917949995,,,,12382.694804223525,,52626.452917949995,0.0
BU009,utility,1687.3359864075,,,,15791.595329296557,,,,3715.669489246248,,15791.595329296557,1230.1199543284401
BU001,residences,20394.00846661922,,,,,,,,,,39812.480850868946,13434.602505631054
BU001,utility,824.8288855157391,,,,,,,,,,1362.917748854022,1230.0783134379778
